mean	q-2.5%	q-97.5%	var	sd
660-Mammalia	-0.3	0	5.3	16.8	8.1
661-Laurasiatheria	0.1	0.4	0.2	-25.2	-13.5
662-Scrotifera	0.2	0.8	-0.2	-53.6	-31.9
664-Fereungulata	-0.2	0.4	-0.9	-61.8	-38.2
665-Carnivora	0	0.4	0	-5.4	-2.7
666-Caniformia	0.2	0.9	-0.1	-9.9	-5.1
667-Arctoidea	0	0.4	-0.3	-7.9	-4
917-Felidae	-1.2	-5.3	0.4	8.9	4.3
955-Pantherinae	-4	1.2	-5.2	-37.5	-20.9
969-Euungulata	-0.2	-0.1	-0.7	-38.6	-21.7
1000-Artiodactyla	0	0	-0.1	-4.3	-2.2
1005-Erinaceidae-Soricidae	-0.2	-0.2	-0.1	2	1
1008-Chiroptera	0.5	1.1	0.3	-15	-7.8
