t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	t_n60	t_n61	t_n62	t_n63	t_n64	t_n65
run1	2.5435044	0.6654788	0.4646689	0.3649225	0.333407	0.277059	0.2542964	0.1370753	0.109596	0.0231786	0.1859761	0.2200876	0.1120816	0.0958923	0.0818407	0.1749038	0.072445	0.0678877	0.0581171	0.0136271	0.0007006	0.5740262	0.3301018	0.2343424	0.1162404	0.0038475	0.1221976	0.4140958	0.1748795	0.0240963	1.1429315	0.2583018
run2	2.5424768	0.6659469	0.4649445	0.3653849	0.3335122	0.2772658	0.2548497	0.1371907	0.1094494	0.023195	0.1862747	0.2198274	0.112095	0.0959522	0.0815055	0.1767243	0.0731936	0.0685779	0.0585746	0.0137423	0.0007017	0.5741389	0.3305817	0.2343768	0.1166518	0.0038656	0.1229232	0.4143867	0.1750965	0.024094	1.1507913	0.2562099
run3	2.5411292	0.6658891	0.46495	0.3658247	0.3336052	0.277534	0.2547197	0.1373769	0.1097117	0.0232762	0.1859302	0.2194975	0.1117077	0.0956547	0.0815249	0.1750553	0.0723724	0.0677651	0.0580547	0.0136735	0.0007033	0.5735509	0.3295863	0.2342811	0.1165851	0.003826	0.1224941	0.4131048	0.1746497	0.0240519	1.1455402	0.2571422
run4	2.5391234	0.6657529	0.463722	0.3648477	0.3329395	0.2766002	0.2536979	0.1373274	0.1094446	0.0232777	0.185043	0.2196833	0.112074	0.0958613	0.0817215	0.1757463	0.0729443	0.0680052	0.0580837	0.0136511	0.000706	0.5739671	0.33041	0.234661	0.1165936	0.0038201	0.1232348	0.413861	0.1751412	0.0240472	1.1508566	0.2568854
run5	2.5351237	0.6650994	0.4640194	0.3650784	0.3337029	0.2782188	0.2550795	0.1374753	0.1095896	0.0232043	0.1859474	0.2206431	0.1120949	0.0959944	0.0817555	0.1752535	0.0726474	0.0678758	0.0580678	0.0136534	0.0007004	0.5740344	0.3309714	0.2349613	0.1169874	0.0038719	0.122912	0.4144777	0.1755562	0.0241388	1.1424143	0.2566827
run6	2.5441343	0.6658326	0.4645222	0.365201	0.3333107	0.2772436	0.2543755	0.1371434	0.109419	0.0232349	0.1856761	0.2201803	0.1117709	0.0961364	0.0818673	0.1755364	0.0728407	0.0682559	0.0584863	0.0136603	0.000706	0.5737725	0.3309167	0.2347227	0.1163762	0.0038276	0.1229643	0.4139649	0.1749997	0.0239746	1.1441475	0.2571178
run7	2.5482867	0.6654709	0.4639928	0.3652182	0.3332648	0.2772863	0.2545707	0.1372862	0.109662	0.0232151	0.185877	0.220402	0.1119352	0.0961862	0.0819786	0.1747662	0.0724539	0.0679977	0.0579546	0.0136257	0.0006997	0.5736339	0.3305944	0.2344933	0.116708	0.0037992	0.1222963	0.4143217	0.1745444	0.0241414	1.1459021	0.2559511
run8	2.5304911	0.6652863	0.4648034	0.3653743	0.3336241	0.2777664	0.2548759	0.137602	0.1099977	0.0233463	0.1858666	0.2207463	0.1115618	0.0957166	0.0814321	0.1751846	0.072758	0.0679233	0.058056	0.0135911	0.0007055	0.5741602	0.33044	0.2343648	0.116717	0.0037934	0.123073	0.4144279	0.1751272	0.0241431	1.132653	0.2567414
run9	2.544121	0.6654978	0.4639045	0.3645966	0.3330938	0.2771011	0.2542851	0.1373952	0.1095083	0.0232273	0.1852499	0.2201075	0.1118057	0.0956964	0.0818002	0.1754127	0.0724647	0.0678585	0.0580086	0.0136923	0.0007049	0.5735022	0.3296513	0.233985	0.1168492	0.0038647	0.1224799	0.4138557	0.1742712	0.0239871	1.1438698	0.2562516
run10	2.5406806	0.6657473	0.4642117	0.365147	0.3339709	0.2773553	0.2545456	0.1375753	0.1097163	0.0231876	0.1854837	0.2201474	0.1119738	0.0959498	0.081645	0.1761307	0.0726649	0.0681857	0.0582921	0.0136402	0.0007052	0.5737073	0.3293904	0.2338015	0.1162907	0.0038887	0.1227558	0.4135096	0.1741842	0.0239455	1.1377426	0.2564544
run11	2.5468395	0.6652281	0.4643283	0.3645684	0.3335758	0.2776045	0.2547447	0.1374	0.1098081	0.0232752	0.1857743	0.2200325	0.1116835	0.0959956	0.0818576	0.175529	0.0727622	0.0677443	0.0581248	0.0136209	0.0006954	0.5740324	0.3308003	0.23451	0.1168415	0.0039034	0.1229448	0.4136978	0.174634	0.0239763	1.1439167	0.2564162
run12	2.5372055	0.6652444	0.4648478	0.3648716	0.3337109	0.2773798	0.2544306	0.1375821	0.1098623	0.0231997	0.1856835	0.2201914	0.1118568	0.0958027	0.0816312	0.176255	0.0727585	0.0678392	0.0580688	0.0136457	0.0007031	0.5741634	0.3299919	0.2343624	0.1162079	0.0039364	0.1228362	0.4149105	0.1750976	0.0240659	1.1432389	0.2573173
